Alloy;No;S_Phase;Phase;a (Å);δ;T_m (K);σT_m (K);ΔH_mix (kJ/mol);σH_mix (kJ/mol);S_id (R);χ;Δχ;VEC;σVEC;Bulk Modulus (GPa);σBulk (GPa);Young's modulus E (GPa);Shear modulus G (GPa);Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;H;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ne;Ni;Ns;O;Os;P;Pb;Pd;Pr;Pt;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Ti;Tl;Tm;V;W;Y;Yb;Zn;Zr
TiZrNbMoV0.5;5;SS;BCC;1,4478;0,065542;2401,4444;387,7904;-2,6667;2,2596;1,5811;1,6544;0,2895;4,7778;0,78567;131,1111;80,7526;151,3333;57,4444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0,5;0;0;0;0;1
TiZrNbMoV0.75;5;SS;BCC;1,4408;0,067276;2389,9474;380,5862;-2,7036;2,1785;1,6036;1,6532;0,2819;4,7895;0,76633;132,6316;78,8631;150,1053;56,8947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0,75;0;0;0;0;1
TiZrNbMoV1.5;5;SS;BCC;1,4238;0,070059;2361,7273;360,7462;-2,7107;1,9628;1,5942;1,6500;0,2621;4,8182;0,71582;136,3636;73,8885;147,0909;55,5455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1,5;0;0;0;0;1
TiZrNbMoV2;5;SS;BCC;1,4148;0,070712;2346,8333;348,9028;-2,6667;1,8375;1,5607;1,6483;0,2510;4,8333;0,68718;138,3333;71,0438;145,5000;54,8333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1
TiZrNbMoV3;5;SS;BCC;1,4007;0,070586;2323,4286;328,0692;-2,5306;1,6249;1,4751;1,6457;0,2324;4,8571;0,63888;141,4286;66,2093;143,0000;53,7143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;1
Ti40Zr25Ni3Cu12Be20;5;AM;AM;1,4019;0,121748;1835,1724;262,2116;-25,8764;11,1384;1,3946;1,5478;0,1755;4,6200;2,71581;92,2000;55,1648;142,1500;60,2900;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;25
Ti40Zr25Ni8Cu9Be18;5;AM;AM;1,4033;0,120055;1849,6393;246,5119;-28,2612;11,9501;1,4405;1,5549;0,1833;4,7500;2,72901;94,4000;57,6770;142,5100;60,0100;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;25
YGdTbDyLu;5;SS;HCP;1,7786;0,013720;1723,6000;123,5372;0,0000;0,0000;1,6094;1,2020;0,0560;3,0000;0,00000;41,3400;3,5415;60,6000;24,2800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
ZrHfTiCuCo;5;AM;AM;1,4344;0,102416;1940,1540;380,5986;-23,5200;11,3878;1,6094;1,5900;0,2586;6,4000;3,00666;108,0000;59,7997;120,0000;46,0000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
ZrHfTiCuFe;5;AM;AM;1,4324;0,104324;1948,7540;377,0811;-15,8400;8,4752;1,6094;1,5800;0,2480;6,2000;2,85657;106,0000;57,4804;120,4000;47,4000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Zr57Nb5Cu15.4Ni12.6Al10;5;AM;AM;1,4822;0,100441;1870,6316;455,3208;-33,6120;11,4241;1,2496;1,5324;0,2509;5,7840;3,00821;60,3400;74,0438;95,6600;40,2780;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;12,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57
